INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |trim                                        |Beginning trim analysis
INFO    |trim                                        |  Searching:
INFO    |trim                                        |    vCg__E: 5.00 to 15.0 m/s
INFO    |trim                                        |    alpha: -10.0 to 10.0 deg
INFO    |trim                                        |    beta: -0.100 to 0.100 deg
INFO    |trim                                        |    externalFX_W: 5.00 to 15.0 N
INFO    |trim                                        |Starting local search
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.152 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.0 m/s
INFO    |trim                                        |    alpha: 5.00 deg
INFO    |trim                                        |    beta: 0.00 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.156
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.140 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.0 m/s
INFO    |trim                                        |    alpha: 5.00 deg
INFO    |trim                                        |    beta: 0.00 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.155
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.0 m/s
INFO    |trim                                        |    alpha: 5.01 deg
INFO    |trim                                        |    beta: 0.00 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.156
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.0 m/s
INFO    |trim                                        |    alpha: 5.00 deg
INFO    |trim                                        |    beta: 0.0100 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.156
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.134 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.0 m/s
INFO    |trim                                        |    alpha: 5.00 deg
INFO    |trim                                        |    beta: 0.00 deg
INFO    |trim                                        |    externalFX_W: 7.51 N
INFO    |trim                                        |  Objective: 0.156
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.134 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.1 m/s
INFO    |trim                                        |    alpha: 4.99 deg
INFO    |trim                                        |    beta: -1.71E-07 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.150
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.137 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.1 m/s
INFO    |trim                                        |    alpha: 4.99 deg
INFO    |trim                                        |    beta: -1.71E-07 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.149
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.136 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.1 m/s
INFO    |trim                                        |    alpha: 5.00 deg
INFO    |trim                                        |    beta: -1.71E-07 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.150
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.1 m/s
INFO    |trim                                        |    alpha: 4.99 deg
INFO    |trim                                        |    beta: 0.0100 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.150
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.1 m/s
INFO    |trim                                        |    alpha: 4.99 deg
INFO    |trim                                        |    beta: -1.71E-07 deg
INFO    |trim                                        |    externalFX_W: 7.51 N
INFO    |trim                                        |  Objective: 0.150
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.4 m/s
INFO    |trim                                        |    alpha: 4.88 deg
INFO    |trim                                        |    beta: -1.66E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.129
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.4 m/s
INFO    |trim                                        |    alpha: 4.88 deg
INFO    |trim                                        |    beta: -1.66E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.128
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.136 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.4 m/s
INFO    |trim                                        |    alpha: 4.89 deg
INFO    |trim                                        |    beta: -1.66E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.129
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.133 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.4 m/s
INFO    |trim                                        |    alpha: 4.88 deg
INFO    |trim                                        |    beta: 0.0100 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.129
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.4 m/s
INFO    |trim                                        |    alpha: 4.88 deg
INFO    |trim                                        |    beta: -1.66E-06 deg
INFO    |trim                                        |    externalFX_W: 7.51 N
INFO    |trim                                        |  Objective: 0.129
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.134 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 11.6 m/s
INFO    |trim                                        |    alpha: 4.46 deg
INFO    |trim                                        |    beta: -7.60E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.0851
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.139 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 11.6 m/s
INFO    |trim                                        |    alpha: 4.46 deg
INFO    |trim                                        |    beta: -7.60E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.0874
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.136 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 11.6 m/s
INFO    |trim                                        |    alpha: 4.47 deg
INFO    |trim                                        |    beta: -7.60E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.0862
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 11.6 m/s
INFO    |trim                                        |    alpha: 4.46 deg
INFO    |trim                                        |    beta: 0.00999 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.0851
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 11.6 m/s
INFO    |trim                                        |    alpha: 4.46 deg
INFO    |trim                                        |    beta: -7.60E-06 deg
INFO    |trim                                        |    externalFX_W: 7.51 N
INFO    |trim                                        |  Objective: 0.0851
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.7 m/s
INFO    |trim                                        |    alpha: 4.78 deg
INFO    |trim                                        |    beta: -3.16E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.109
INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |unsteady_ring_vortex_lattice_method         |Unsteady ring vortex lattice method solver completed in 0.135 s
INFO    |trim                                        |  State:
INFO    |trim                                        |    vCg__E: 10.7 m/s
INFO    |trim                                        |    alpha: 4.78 deg
INFO    |trim                                        |    beta: -3.16E-06 deg
INFO    |trim                                        |    externalFX_W: 7.50 N
INFO    |trim                                        |  Objective: 0.108
INFO    |movements.movement                          |Starting analytical delta_time optimization
