INFO    |movements.movement                          |Starting analytical delta_time optimization
INFO    |movements.movement                          |All motion is static
INFO    |movements.movement                          |Returning the initial delta_time estimate
INFO    |_serialization                              |Saving UnsteadyRingVortexLatticeMethodSolver to example_solver.json.gz
INFO    |_serialization                              |Saved UnsteadyRingVortexLatticeMethodSolver to example_solver.json.gz (8407137 bytes)
INFO    |_serialization                              |Loading from example_solver.json.gz
WARNING |_serialization                              |The file was saved with uncommitted changes, so the hash may not fully represent the code state
WARNING |_serialization                              |The current working tree has uncommitted changes
INFO    |_serialization                              |Loaded UnsteadyRingVortexLatticeMethodSolver from example_solver.json.gz
INFO    |output                                      |Airplane "Example Airplane":
INFO    |output                                      |  Final Forces (in Geometry Axes):
INFO    |output                                      |    fX_G:            4.10 N
INFO    |output                                      |    fY_G:       -9.35E-14 N
INFO    |output                                      |    fZ_G:            389. N
INFO    |output                                      |  Final Moments (in Geometry Axes, Relative to the CG):
INFO    |output                                      |    mX_G_Cg:     1.30E-12 Nm
INFO    |output                                      |    mY_G_Cg:         21.4 Nm
INFO    |output                                      |    mZ_G_Cg:    -2.79E-13 Nm
INFO    |output                                      |  Final Force Coefficients (in Geometry Axes):
INFO    |output                                      |    cFX_G:        0.00344
INFO    |output                                      |    cFY_G:      -7.84E-17
INFO    |output                                      |    cFZ_G:          0.326
INFO    |output                                      |  Final Moment Coefficients (in Geometry Axes, Relative to the CG):
INFO    |output                                      |    cMX_G_Cg:    9.12E-17
INFO    |output                                      |    cMY_G_Cg:      0.0110
INFO    |output                                      |    cMZ_G_Cg:   -1.95E-17
INFO    |output                                      |  Final Forces (in Wind Axes):
INFO    |output                                      |    fX_W:           -10.9 N     Drag:                   10.9 N
INFO    |output                                      |    fY_W:       -9.35E-14 N     Side Force:        -9.35E-14 N
INFO    |output                                      |    fZ_W:           -389. N     Lift:                   389. N
INFO    |output                                      |  Final Moments (in Wind Axes, Relative to the CG):
INFO    |output                                      |    mX_W_Cg:    -1.30E-12 Nm    Rolling Moment:    -1.30E-12 Nm
INFO    |output                                      |    mY_W_Cg:         21.4 Nm    Pitching Moment:        21.4 Nm
INFO    |output                                      |    mZ_W_Cg:     3.01E-13 Nm    Yawing Moment:      3.01E-13 Nm
INFO    |output                                      |  Final Force Coefficients (in Wind Axes):
INFO    |output                                      |    cFX_W:       -0.00913       CDi:                 0.00913
INFO    |output                                      |    cFY_W:      -7.84E-17       CY:                -7.84E-17
INFO    |output                                      |    cFZ_W:         -0.326       CL:                    0.326
INFO    |output                                      |  Final Moment Coefficients (in Wind Axes, Relative to the CG):
INFO    |output                                      |    cMX_W_Cg:   -9.08E-17       Cl:                -9.08E-17
INFO    |output                                      |    cMY_W_Cg:      0.0110       Cm:                   0.0110
INFO    |output                                      |    cMZ_W_Cg:    2.11E-17       Cn:                 2.11E-17
