Drela T16
1.002940  0.012528
0.994192  0.014565
0.981260  0.017559
0.964322  0.021457
0.945494  0.025765
0.926175  0.030154
0.906782  0.034521
0.887378  0.038837
0.867983  0.043098
0.848627  0.047285
0.829303  0.051379
0.810000  0.055369
0.790707  0.059248
0.771417  0.063007
0.752124  0.066642
0.732824  0.070148
0.713515  0.073520
0.694197  0.076754
0.674869  0.079846
0.655535  0.082792
0.636197  0.085586
0.616854  0.088222
0.597509  0.090693
0.578164  0.092995
0.558819  0.095121
0.539476  0.097064
0.520137  0.098818
0.500806  0.100377
0.481483  0.101733
0.462172  0.102878
0.442879  0.103805
0.423605  0.104505
0.404356  0.104970
0.385138  0.105190
0.365955  0.105155
0.346814  0.104854
0.327725  0.104279
0.308693  0.103414
0.289731  0.102249
0.270847  0.100770
0.252058  0.098962
0.233377  0.096809
0.214818  0.094296
0.196407  0.091407
0.178185  0.088125
0.160190  0.084425
0.142465  0.080282
0.125063  0.075670
0.108054  0.070566
0.091535  0.064948
0.075638  0.058806
0.060561  0.052159
0.046605  0.045086
0.034213  0.037803
0.023890  0.030697
0.015904  0.024201
0.010076  0.018540
0.005955  0.013686
0.003109  0.009479
0.001245  0.005756
0.000230  0.002388
0.000000  0.000000
0.000228 -0.002388
0.001797 -0.005515
0.004939 -0.007261
0.010610 -0.007266
0.017697 -0.005980
0.025064 -0.004242
0.033766 -0.002010
0.044624  0.000836
0.057778  0.004278
0.072485  0.008092
0.088276  0.012154
0.104769  0.016360
0.121666  0.020610
0.138752  0.024820
0.155946  0.028936
0.173232  0.032922
0.190611  0.036751
0.208092  0.040402
0.225681  0.043871
0.243379  0.047172
0.261209  0.050284
0.279201  0.053204
0.297356  0.055921
0.315658  0.058416
0.334093  0.060671
0.352644  0.062671
0.371300  0.064397
0.390042  0.065833
0.408856  0.066964
0.427728  0.067772
0.446646  0.068243
0.465595  0.068361
0.484565  0.068116
0.503545  0.067515
0.522527  0.066580
0.541507  0.065333
0.560485  0.063793
0.579455  0.061984
0.598416  0.059927
0.617364  0.057642
0.636296  0.055153
0.655207  0.052476
0.674097  0.049625
0.692973  0.046607
0.711835  0.043437
0.730691  0.040121
0.749553  0.036670
0.768433  0.033094
0.787340  0.029399
0.806289  0.025596
0.825288  0.021692
0.844251  0.017717
0.863370  0.013640
0.882527  0.009488
0.901640  0.005275
0.939472 -0.003263
0.957803 -0.007498
0.974420 -0.011390
0.987333 -0.014451
0.996067 -0.016540
